Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,name,region,sub-region,Terrorist_attacks
Madagascar,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,Madagascar,Africa,Sub-Saharan Africa,5.0
Romania,1.162,1.232,0.825,0.462,0.083,0.005,Romania,Europe,Eastern Europe,125.6111111
Namibia,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,Namibia,Africa,Sub-Saharan Africa,122.0
Hungary,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,Hungary,Europe,Eastern Europe,3.0
Tajikistan,0.493,1.0979999999999999,0.718,0.389,0.23,0.14400000000000002,Tajikistan,Asia,Central Asia,6.0
Singapore,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996,Singapore,Asia,South-eastern Asia,125.6111111
Lesotho,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,Lesotho,Africa,Sub-Saharan Africa,1419.095238
Zimbabwe,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,Zimbabwe,Africa,Sub-Saharan Africa,1.0
Paraguay,0.855,1.475,0.777,0.514,0.184,0.08,Paraguay,Americas,Latin America and the Caribbean,35.0
Central African Republic,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,Central African Republic,Africa,Sub-Saharan Africa,76.0
Cameroon,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,Cameroon,Africa,Sub-Saharan Africa,109.0
South Korea,1.301,1.219,1.036,0.159,0.175,0.055999999999999994,South Korea,Asia,Eastern Asia,1.0
Switzerland,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,Switzerland,Europe,Western Europe,5.0
Cambodia,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,Cambodia,Asia,South-eastern Asia,2.0
Congo (Kinshasa),0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,Congo (Kinshasa),Africa,Sub-Saharan Africa,1419.095238
Ecuador,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,Ecuador,Americas,Latin America and the Caribbean,5.0
Italy,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03,Italy,Europe,Southern Europe,40.0
Belarus,1.067,1.465,0.789,0.235,0.094,0.142,Belarus,Europe,Eastern Europe,4.0
Bosnia and Herzegovina,0.945,1.212,0.845,0.212,0.263,0.006,Bosnia and Herzegovina,Europe,Southern Europe,585.4347826000001
El Salvador,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,El Salvador,Americas,Latin America and the Caribbean,125.6111111
Argentina,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,Argentina,Americas,Latin America and the Caribbean,10.0
New Zealand,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,New Zealand,Oceania,Australia and New Zealand,57.33333333
Slovenia,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057,Slovenia,Europe,Southern Europe,125.6111111
Moldova,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0,Moldova,Europe,Eastern Europe,2.0
Niger,0.138,0.774,0.366,0.318,0.188,0.102,Niger,Africa,Sub-Saharan Africa,24.0
Indonesia,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,Indonesia,Asia,South-eastern Asia,84.0
North Macedonia,0.983,1.294,0.838,0.345,0.185,0.034,North Macedonia,Europe,Southern Europe,585.4347826000001
Liberia,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,Liberia,Africa,Sub-Saharan Africa,1419.095238
Comoros,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,Comoros,Africa,Sub-Saharan Africa,1419.095238
Azerbaijan,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,Azerbaijan,Asia,Western Asia,3.0
Canada,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,Canada,Americas,Northern America,8.0
Luxembourg,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,Luxembourg,Europe,Western Europe,57.33333333
Kazakhstan,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,Kazakhstan,Asia,Central Asia,5.0
Ethiopia,0.336,1.033,0.532,0.344,0.209,0.1,Ethiopia,Africa,Sub-Saharan Africa,21.0
Iceland,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,Iceland,Europe,Northern Europe,1.0
Belgium,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,Belgium,Europe,Western Europe,3.0
Trinidad & Tobago,1.2309999999999999,1.4769999999999999,0.713,0.489,0.185,0.016,Trinidad & Tobago,Americas,Latin America and the Caribbean,125.6111111
Montenegro,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,Montenegro,Europe,Southern Europe,2.0
Egypt,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,Egypt,Africa,Northern Africa,1101.0
Sweden,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,Sweden,Europe,Northern Europe,12.0
Zambia,0.578,1.058,0.426,0.431,0.247,0.087,Zambia,Africa,Sub-Saharan Africa,1419.095238
Jordan,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,Jordan,Asia,Western Asia,10.0
Norway,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,Norway,Europe,Northern Europe,1.0
Kenya,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,Kenya,Africa,Sub-Saharan Africa,270.0
Northern Cyprus,1.263,1.252,1.042,0.41700000000000004,0.191,0.162,Northern Cyprus,Asia,Western Asia,585.4347826000001
Armenia,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,Armenia,Asia,Western Asia,4.0
Estonia,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,Estonia,Europe,Northern Europe,2.0
Venezuela,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,Venezuela,Americas,Latin America and the Caribbean,8.0
Kuwait,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999,Kuwait,Asia,Western Asia,3.0
Afghanistan,0.35,0.517,0.361,0.0,0.158,0.025,Afghanistan,Asia,Southern Asia,6023.0
Honduras,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,Honduras,Americas,Latin America and the Caribbean,3.0
Cyprus,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,Cyprus,Asia,Western Asia,19.0
Morocco,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,Morocco,Africa,Northern Africa,2.0
Malta,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,Malta,Europe,Southern Europe,2.0
Japan,1.327,1.419,1.088,0.445,0.069,0.14,Japan,Asia,Eastern Asia,8.0
Yemen,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,Yemen,Asia,Western Asia,1885.0
Sri Lanka,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,Sri Lanka,Asia,Southern Asia,22.0
Slovakia,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999,Slovakia,Europe,Eastern Europe,125.6111111
Haiti,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,Haiti,Americas,Latin America and the Caribbean,1419.095238
Denmark,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,Denmark,Europe,Northern Europe,2.0
Latvia,1.187,1.465,0.812,0.264,0.075,0.064,Latvia,Europe,Northern Europe,125.6111111
Myanmar,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,Myanmar,Asia,South-eastern Asia,117.0
Gabon,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,Gabon,Africa,Sub-Saharan Africa,122.0
Nepal,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,Nepal,Asia,Southern Asia,197.0
Iran,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,Iran,Asia,Southern Asia,37.0
Algeria,1.002,1.16,0.785,0.086,0.073,0.114,Algeria,Africa,Northern Africa,166.0
Croatia,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,Croatia,Europe,Southern Europe,2.0
Mauritania,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,Mauritania,Africa,Sub-Saharan Africa,2.0
South Sudan,0.306,0.575,0.295,0.01,0.20199999999999999,0.091,South Sudan,Africa,Sub-Saharan Africa,63.0
United Arab Emirates,1.5030000000000001,1.31,0.825,0.598,0.262,0.182,United Arab Emirates,Asia,Western Asia,4.0
Libya,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152,Libya,Africa,Northern Africa,1448.0
Albania,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,Albania,Europe,Southern Europe,9.0
United Kingdom,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,United Kingdom,Europe,Northern Europe,339.0
China,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,China,Asia,Eastern Asia,37.0
Congo (Brazzaville),0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,Congo (Brazzaville),Africa,Sub-Saharan Africa,122.0
